Publication Years	Record Count	% of 312
2024	1	0.321
2023	21	6.731
2022	34	10.897
2021	27	8.654
2020	19	6.090
2019	22	7.051
2018	22	7.051
2017	14	4.487
2016	15	4.808
2015	16	5.128
2014	10	3.205
2013	11	3.526
2012	12	3.846
2011	13	4.167
2010	5	1.603
2009	3	0.962
2008	6	1.923
2007	6	1.923
2006	3	0.962
2005	3	0.962
2004	6	1.923
2003	2	0.641
2002	7	2.244
2001	4	1.282
2000	3	0.962
1999	4	1.282
1998	6	1.923
1997	3	0.962
1996	5	1.603
1995	3	0.962
1994	1	0.321
1993	1	0.321
1992	1	0.321
1989	1	0.321
1985	1	0.321
1984	1	0.321
