Publication Years	Record Count	% of 8,527
2024	47	0.551
2023	607	7.119
2022	666	7.810
2021	706	8.280
2020	692	8.115
2019	609	7.142
2018	567	6.649
2017	485	5.688
2016	480	5.629
2015	409	4.797
2014	423	4.961
2013	397	4.656
2012	342	4.011
2011	275	3.225
2010	277	3.249
2009	262	3.073
2008	228	2.674
2007	179	2.099
2006	125	1.466
2005	155	1.818
2004	128	1.501
2003	104	1.220
2002	85	0.997
2001	56	0.657
2000	60	0.704
1999	39	0.457
1998	38	0.446
1997	18	0.211
1996	14	0.164
1995	14	0.164
1994	18	0.211
1993	12	0.141
1992	6	0.070
1991	3	0.035
1988	1	0.012
