Publication Years	Record Count	% of 1,003
2024	8	0.798
2023	70	6.979
2022	102	10.169
2021	88	8.774
2020	90	8.973
2019	71	7.079
2018	81	8.076
2017	50	4.985
2016	46	4.586
2015	43	4.287
2014	42	4.187
2013	39	3.888
2012	23	2.293
2011	43	4.287
2010	17	1.695
2009	17	1.695
2008	19	1.894
2007	20	1.994
2006	15	1.496
2005	17	1.695
2004	12	1.196
2003	6	0.598
2002	14	1.396
2001	6	0.598
2000	14	1.396
1999	9	0.897
1998	7	0.698
1997	2	0.199
1996	7	0.698
1995	6	0.598
1994	5	0.499
1992	2	0.199
1991	2	0.199
1989	1	0.100
1983	1	0.100
1981	1	0.100
1979	2	0.199
1978	1	0.100
1976	1	0.100
1974	1	0.100
1972	1	0.100
1971	1	0.100
